date,clicks,conversions,cost,industry,customer,publisher,target_cpa
2019-10-16,9,0,1.84,U,5,C,25
2019-10-16,9,0,8.16,Y,3,C,25
2019-10-17,308,10,160.16,V,4,C,35
2019-10-18,817,10,746.94,W,1,B,40
2019-10-21,2121,116,2065.97,T,6,E,25
2019-10-19,723,4,494.91,V,4,C,35
2019-10-20,103,3,79.97,V,4,B,35
2019-10-20,42,0,41.93,V,4,E,35
2019-10-22,735,10,178.63,V,4,C,35
2019-10-22,324,7,162.01,Y,3,C,25
2019-10-21,12,0,9.96,V,4,D,35
2019-10-21,438,39,400.94,V,4,A,35
2019-10-18,43,9,36.37,Y,3,E,25
2019-10-17,6,0,5.97,T,7,C,15
2019-10-21,113,4,108.74,T,6,B,25
2019-10-18,159,1,178.58,T,6,D,25
2019-10-22,540,34,500.67,T,7,A,15
2019-10-22,197,6,196.68,T,6,B,25
2019-10-17,156,7,129.52,U,5,A,25
2019-10-20,10,2,9.65,T,6,C,25
2019-10-18,33,0,29.88,V,4,E,35
2019-10-23,118,12,124.75,V,4,A,35
2019-10-24,161,10,95.82,W,1,B,40
2019-10-24,648,0,766.73,T,7,B,15
2019-10-24,19,0,21.14,V,4,E,35
2019-10-24,657,4,558.04,W,1,D,40
2019-10-24,8,0,9.05,W,1,H,40
2019-10-25,2851,63,2825.36,W,1,C,40
2019-10-25,551,5,672.6,T,7,C,15
2019-10-25,107,2,79.79,U,5,A,25
2019-10-26,918,19,1190.88,W,1,E,40
2019-10-26,345,3,446.55,T,7,C,15
2019-10-26,4,1,3.71,T,6,C,25
2019-10-27,738,12,547.86,W,1,D,40
2019-10-27,820,2,1137.92,T,7,B,15
2019-10-27,106,6,95.92,Y,3,A,25
2019-10-28,676,11,307.15,W,1,B,40
2019-10-28,1301,13,1068.59,U,5,C,25
2019-10-28,884,7,626.83,W,1,D,40
2019-10-28,197,5,252.56,T,7,E,15
2019-10-28,452,5,597.98,T,7,B,15
2019-10-28,55,1,53.34,V,4,E,35
2019-10-28,580,41,568.92,T,6,E,25
2019-10-29,5379,111,6563.59,W,1,E,40
2019-10-29,984,22,458.38,W,1,B,40
2019-10-29,201,2,262.84,T,7,B,15
2019-10-29,415,2,280.29,U,5,C,25
2019-10-30,830,27,395.3,W,1,B,40
2019-11-01,894,237,852.87,T,6,A,25
2019-11-01,3942,108,5101.84,W,1,C,40
2019-11-01,13,3,8.52,V,4,A,35
2019-10-31,571,20,385.46,V,4,C,35
2019-10-31,64,10,64.48,T,7,A,15
2019-10-31,119,3,138.79,Y,3,B,25
2019-10-31,181,3,134.02,Y,3,C,25
2019-11-01,19,1,18.43,Y,3,H,25
2019-10-31,21,8,16.3,V,4,A,35
2019-11-02,115,4,81.57,V,4,C,35
2019-11-02,159,6,152.73,T,6,C,25
2019-11-02,145,9,127.9,T,7,C,15
2019-11-03,139,7,113.7,Y,3,A,25
2019-11-03,55,0,37.82,V,4,B,35
2019-11-03,52,2,41.05,T,7,B,15
2019-11-04,749,43,710.98,T,6,C,25
2019-11-04,21,1,20.01,T,6,B,25
2019-11-05,8885,211,7340.3,W,1,C,40
2019-11-05,1034,13,983.04,W,1,D,40
2019-11-05,131,4,117.94,V,4,B,35
2019-11-05,21,0,21.26,U,2,E,25
2019-11-06,60,20,59.9,T,6,E,25
2019-11-06,84,1,72.24,V,4,B,35
2019-11-06,10,0,10.0,T,7,E,15
2019-11-06,1,0,1.16,W,1,H,40
2019-11-07,9222,219,7653.19,W,1,C,40
2019-11-07,46,1,32.32,V,4,B,35
2019-11-08,5939,167,5781.0,W,1,C,40
2019-11-08,84,1,110.97,Y,3,E,25
2019-11-08,218,14,108.22,V,4,C,35
2019-11-08,109,8,70.9,U,2,C,25
2019-11-09,4,1,3.66,T,6,B,25
2019-11-10,4803,100,4865.29,W,1,C,40
2019-11-10,34,0,27.61,V,4,B,35
2019-11-10,51,1,69.08,Y,3,E,25
2019-11-10,53,1,22.67,T,7,C,15
2019-11-10,11,0,10.09,V,4,E,35
2019-11-12,17,7,14.1,U,2,C,25
2019-11-13,101,9,110.92,Y,3,E,25
2019-11-13,4,5,2.7,U,2,C,25
2019-11-14,2000,100,1857.62,T,6,C,25
2019-11-15,603,19,233.66,V,4,C,35
2019-11-15,203,6,151.08,Y,3,C,25
2019-11-15,66,36,62.76,T,6,A,25
2019-11-17,6079,161,4854.05,W,1,C,40
2019-11-17,30,6,27.84,T,6,C,25
2019-11-17,5,14,4.77,T,6,A,25
2019-11-17,10,0,9.14,V,4,E,35
2019-11-18,2898,38,2577.3,W,1,B,40
2019-11-18,37,1,38.6,V,4,E,35
2019-10-21,189,7,171.32,T,7,E,15
2019-10-17,1945,25,2122.71,W,1,C,40
2019-10-22,5266,97,5886.8,W,1,C,40
2019-10-19,1193,9,1695.14,W,1,C,40
2019-10-18,929,18,975.08,W,1,E,40
2019-10-21,513,10,365.8,Y,3,C,25
2019-10-19,92,0,99.87,Y,3,B,25
2019-10-20,356,4,122.96,W,1,B,40
2019-10-18,197,1,112.47,U,5,C,25
2019-10-20,139,2,155.87,T,6,D,25
2019-10-22,139,19,87.96,V,4,A,35
2019-10-17,12,0,9.15,V,4,B,35
2019-10-19,23,0,23.55,U,5,A,25
2019-10-23,796,6,731.85,T,7,C,15
2019-10-23,472,10,203.03,V,4,C,35
2019-10-25,13,1,12.43,T,6,C,25
2019-10-25,35,1,32.36,Y,3,B,25
2019-10-25,255,0,280.59,V,4,B,35
2019-10-25,628,2,544.27,W,1,D,40
2019-10-26,189,1,137.4,U,5,C,25
2019-10-26,3,0,2.46,V,4,D,35
2019-10-27,1169,41,850.95,U,2,C,25
2019-10-27,206,5,270.21,T,7,E,15
2019-10-27,12,1,11.3,V,4,A,35
2019-10-28,5,0,5.62,W,1,H,40
2019-10-29,479,39,613.78,T,6,E,25
2019-10-29,116,13,108.34,V,4,A,35
2019-10-29,59,8,64.43,T,6,B,25
2019-10-30,309,8,253.88,Y,3,C,25
2019-10-30,24,4,25.91,T,6,B,25
2019-11-01,1388,36,1319.12,T,6,C,25
2019-10-31,7421,188,7866.17,W,1,C,40
2019-11-01,212,3,216.68,Y,3,B,25
2019-11-02,20,0,19.52,Y,3,H,25
2019-11-02,153,1,178.97,U,2,B,25
2019-11-03,56,3,76.99,T,7,E,15
2019-11-03,834,9,545.97,W,1,B,40
2019-11-03,22,5,21.08,U,2,C,25
2019-11-04,3884,85,4546.07,W,1,E,40
2019-11-04,993,9,961.82,W,1,D,40
2019-11-05,2396,37,1643.7,W,1,B,40
2019-11-05,226,12,183.79,Y,3,A,25
2019-11-05,25,0,27.31,V,4,E,35
2019-11-05,46,4,57.83,T,7,E,15
2019-11-06,318,19,222.02,U,2,C,25
2019-11-06,2476,30,1810.89,W,1,B,40
2019-11-06,4,0,3.66,T,6,B,25
2019-11-07,1582,21,1194.64,W,1,B,40
2019-11-07,80,8,37.35,T,7,C,15
2019-11-07,120,1,155.92,Y,3,E,25
2019-11-07,27,2,25.41,T,6,C,25
2019-11-07,21,0,18.33,V,4,E,35
2019-11-08,61,0,26.01,T,7,C,15
2019-11-08,14,0,13.22,T,6,C,25
2019-11-09,2306,59,2795.41,W,1,E,40
2019-11-09,783,5,797.15,W,1,D,40
2019-11-09,88,7,73.57,Y,3,A,25
2019-11-09,17,1,10.06,V,4,A,35
2019-11-09,2,0,2.29,W,1,H,40
2019-11-09,16,1,6.46,T,7,B,15
2019-11-09,9,1,3.71,T,7,E,15
2019-11-10,2341,47,2887.99,W,1,E,40
2019-11-10,1022,25,950.31,W,1,B,40
2019-11-10,8,0,7.57,T,6,C,25
2019-11-11,83,13,57.35,U,2,C,25
2019-11-11,104,3,115.63,Y,3,E,25
2019-11-12,1168,19,569.45,V,4,C,35
2019-11-12,337,112,317.67,T,6,A,25
2019-11-13,136,56,127.93,T,6,A,25
2019-11-13,818,11,312.88,V,4,C,35
2019-11-13,123,8,107.11,U,2,B,25
2019-11-14,3290,45,1838.41,W,1,D,40
2019-11-14,738,21,292.33,V,4,C,35
2019-11-14,71,0,72.47,Y,3,B,25
2019-11-14,88,4,81.47,U,2,B,25
2019-11-14,51,2,20.8,T,7,C,15
2019-11-15,90,5,83.88,U,2,B,25
2019-11-16,160,3,130.53,Y,3,C,25
2019-11-16,326,6,109.52,V,4,C,35
2019-11-16,41,0,33.87,U,2,B,25
2019-11-16,22,18,20.85,T,6,A,25
2019-11-16,4,1,3.76,T,7,C,15
2019-11-17,1499,54,983.56,W,1,E,40
2019-11-17,63,1,50.68,U,2,B,25
2019-11-18,3279,89,2000.77,W,1,E,40
2019-11-18,491,10,420.53,Y,3,C,25
2019-11-18,465,11,731.8,V,4,A,35
2019-11-18,7,9,6.9,T,6,E,25
2019-11-19,46,0,39.69,Y,3,B,25
2019-11-19,18,2,17.51,T,6,C,25
2019-11-20,9807,274,7001.26,W,1,C,40
